Unnamed: 0,번호,제목,저자,출판사,출판일,학위논문사항
,33,"A Study on Big Data and Analysis Software in Multiple Domains: Vehicles, Construction, Energy = 다중 도메인 기반 빅데이터 및 분석 소프트웨어에 관한 연구: 자동차, 건설, 에너지","Lee, JaeKyu",고려대학교 대학원,2022,국내박사
,34,Application of Big Data and Artificial Intelligence in Sports : Sports Big Data = 스포츠에서 빅데이터와 인공지능 적용방안,하종선,국립한국해양대학교 대학원,2024,국내석사
,35,Forecasting based on Big Data Analytics and Machine Learning Techniques for Spatial and Temporal Impact Analysis of Electric Vehicle Charging Demand on Distribution Network,아리아스마리즈,한양대학교 대학원,2024,국내박사
,36,A Study On Key Factors Affecting The Adoption of An Intelligent Healthcare Management System Based on Big Data in Nigeria. = 나이지리아의 빅데이터 기반 지능형 의료 관리 시스템 도입에 영향을 미치는 요인에 대한 연구,Salami Omolola Aybaeyin,숭실대학교 정보과학대학원,2023,국내석사
,37,농업 빅데이터 플랫폼상의 농업경영데이터 활용의도에 영향을 미치는 요인에 관한 연구 = A Study on the Factors Affecting Utilization Intention of Agricultural Management Data on the Agricultural Big Data Platform,손경자,숭실대학교 대학원,2021,국내박사
,38,Data-Centric Computing System Design for Emerging Big Data Applications : 빅 데이터 어플리케이션을 위한 데이터-중심 컴퓨팅 시스템 설계,임홍열,세종대학교 대학원,2017,국내박사
,39,Data Mining Method for Offshore Structures based on Big Data Technology,박성우,서울대학교 대학원,2019,국내석사
,40,(A) study on the perceptions and consumption values of ethical consumption by using social media big data,신은정,"Graduate School, Yonsei University",2019,국내박사
,41,A Study Assessing The Characteristics of Big Data Environments that Predict High Research Impact: Application of Qualitative and Quantitative Methods,"Ameli, Omid",Boston University,2020,해외박사(DDOD)
,42,"Votes, Genes, Grades: Deconstructing Big Data's Rhetorical Reach","Weisse, Kathleen Daly",The University of Wisconsin - Madison,2019,해외박사(DDOD)
,43,(A) comparative analysis of the brand image of Korean and German cars : using big data,김정민,"Graduate School of International Studies, Korea University",2015,국내석사
,44,Hadoop based demography big data management system,"Bukhari, Syeda Sana",Sungkyunkwan university,2018,국내석사
,45,(A) study on big data analytics for nation-wide livestock farm management system in cloud computing environment,이종욱,"Graduate School, Korea University",2014,국내박사
,46,IoT-based Sensor Big Data Collection and Monitoring System for Smart Manufacturing,REN SOTHEARIN,충북대학교,2021,국내석사
,47,Typologies and future signals of school bullying method using social big data analysis,"Kim, Hayoung",Sungkyunkwan University,2018,국내석사
,48,Bankruptcy prediction modeling using qualitative information based on big data analytics,조남옥,이화여자대학교 대학원,2015,국내박사
,49,(A) Study on the Method for the Estimation of Energy Efficiency Operational Indicator of a Ship Based on Technologies of Big Data and Deep Learning,김성훈,서울대학교 대학원,2018,국내석사
,50,Building Coffee Commodity Trading Data Warehouse: Decision Making Support Applying Big Data Analysis,LE NGOC BAO VAN,한국해양대학교 대학원,2022,국내석사
,51,Recent Trends and Proposed Response Strategies of International Standards Related to Shipbuilding Equipment Big Data Integration Platform,임진홍,한국해양대학교 대학원,2021,국내석사
,52,Big data analysis through text mining on the social spread of risk information : Focusing on international online news reports on infectious diseases and preventive actions,"Lee, Kyeore",Sungkyunkwan University,2022,국내박사
,53,A Physics-Informed Neural Network Framework for Big Machinery Data in Prognostics and Health Management for Complex Engineering Systems,"Cofre Martel, Sergio Manuel Ignacio","University of Maryland, College Park",2022,해외박사(DDOD)
,54,Efficient execution framework to support many-task computing on big data platform = 빅데이터 플랫폼에서 many-task computing 지원을 위한 효율적인 실행 프레임워크,"Nguyen, Ngoc Cao",University of Science and Technology,2019,국내박사
,55,빅데이터에 기반한 대기오염 시공간 변화추세 가시화 및 예측에 관한 연구 = Research on visualization and prediction of spatial and temporal evolution of air pollution based on big data,진초,목원대학교 대학원,2023,국내박사
,56,An Efficient Fault-Tolerant and Reliable Data Integrity Framework for Object-Based Big Data Transfer Systems,KASU PREETHIKA ANAND RAO,아주대학교,2022,국내박사
,57,"Big Data Analysis using Experimental Optimization, Data Mining, and Decision Making Methodology : 실험적 최적화와 데이터마이닝, 의사결정론을 활용한 빅데이터 분석",니타솔레하티,전북대학교 일반대학원,2015,국내박사
,58,UDAS : big data analysis system focusing on data refinement and reusability,최현진,"Graduate School, Korea Unversity",2019,국내박사
,59,SPARK BASED DISTRIBUTED DEEP LEARNING FRAMEWORK FOR BIG DATA APPLICATIONS = 빅데이터 애플리케이션을 위한 아파치 스파크 기반 분산 딥러닝 프레임워크,"아메도브, 쿠모윤 마루요노비치",건국대학교 대학원,2016,국내석사
,60,Design and Implementation of Architecture for Interoperability of Bio-Signal Sharing and Analytical Techniques based on Big Data,주문일,인제대학교 일반대학원,2018,국내석사
,61,Scoring System for Predicting Functional Outcome at 3-months Based on Linked Big Data after Acute Ischemic Stroke: S-SMART score = 연계 빅데이터 기반의 급성 뇌경색 환자의 3개월 후 기능적 예후 예측 점수 체계: S-SMART score,김태정,서울대학교 대학원,2019,국내박사
,62,Enhancing Data-Driven Decision Making in Agriculture: A Big Data Approach,"Meisner, Matthew Harvey","University of California, Davis",2015,해외박사(DDOD)
,63,열악한 다리 및 도로 환경에서 스노우멜팅을 통한 빅데이터 분석 및 App 시스템 개발 : The Development of Big Data Analysis System and App system by Snow Melting in poor environment on Bridge and Road,우마로프 잠시드,한국교통대학교 일반대학원,2017,국내석사
,64,Predictive big data analytics on spatiotemporal dynamics of flooding with machine learning,"Narimani, Roya",중앙대학교 대학원,2023,국내박사
,65,Compiler and Runtime Support for Efficient and Scalable Big Data Processing,"Nguyen, Khanh Truong Duy","University of California, Los Angeles",2019,해외박사(DDOD)
,66,Exploring Strategies to Transition to Big Data Technologies from DW Technologies,"Fortem, Mbah Johnas",Walden University,2020,해외박사(DDOD)
,67,Application of Data Mining and Big Data Analytics in the Construction Industry,"Abounia Omran, Behzad",The Ohio State University,2016,해외박사(DDOD)
,68,Automated Performance and Correctness Debugging for Big Data Analytics,"Teoh, Jia Shen","University of California, Los Angeles",2022,해외박사(DDOD)
,69,Comprehensive analysis of genomic big-data in discovering genetic markers = 유전마커 발굴을 위한 다양한 유전체 빅테이터 분석,김경현,과학기술연합대학원대학교,2020,국내박사
,70,Practical Integrity Assurance for Big Data Processing Deployed over Open Cloud,"Wei, Wei",North Carolina State University,2013,해외박사(DDOD)
,71,New Advancements of Scalable Statistical Methods for Learning Latent Structures in Big Data,"Zhao, Shiwen",Duke University,2016,해외박사(DDOD)
,72,Analysis on College Students’ Learning Behaviors and Prediction on Their Academic Achievement based on Campus Big Data,허환,순천향대학교 일반대학원,2023,국내박사
,73,SpatialHadoop: A MapReduce Framework for Big Spatial Data,"Eldawy, Ahmed",University of Minnesota,2016,해외박사(DDOD)
,74,A Study on a Real-time Detection and Monitoring System for Abnormal Fire Occurrences Based on Big Data Mining,주기돈,명지대학교 대학원,2014,국내석사
,75,Statistical Analysis of Networks with Community Structure and Bootstrap Methods for Big Data,"Sengupta, Srijan",University of Illinois at Urbana-Champaign,2016,해외박사(DDOD)
,76,Design and Implementation of Power Cable Insulation Diagnosis Monitoring System Based on Big Data = 빅데이터를 기반으로 전력 케이블의 절연진단을 위한 모니터링 시스템 설계 및 실현,유위,원광대학교 일반대학원,2019,국내박사
,77,A Study on analysis and application of water management based on big data : focusing on prevention of water rates delinquency in local waterworks,김선주,KDI School of Public Policy and Management,2018,국내석사
,78,(A) personalized recommender system based on friendship strength using social big data,서용덕,Korea University,2018,국내박사
,79,(A) study of the choice attributes affecting to medical tourism in Korea using big data = 빅데이터를 활용한 한국의 의료관광 선택속성의 구성 분석,"Osmonova, Cholpon",Pukyong National University,2019,국내석사
,80,Data Management Solutions for Tackling Big Data Variety,"Arora, Vaibhav","University of California, Santa Barbara",2018,해외박사(DDOD)
,81,Subsampling based optimization strategy to analyze big data with LCA,오현정,"Graduate School, Korea University",2021,국내석사
,82,Development of standardized stepwise evaluation and integrated management model for Clinical Big data Quality improvement,변정현,아주대학교,2020,국내박사
,83,Big social media data mining for marketing intelligence,"Zhang, Kunpeng",Northwestern University,2013,해외박사(DDOD)
,84,A multilayer networks analysis for mining quantification rules from big proteomics data : 빅 데이터에 기반하여 단백질체학 데이터에서의 수량화 규칙을 찾기 위한 다층 네트워크 구축과 분석,진수현,DGIST,2017,국내석사
,85,New models and methods for time series analysis in big data era,"Liu, Xialu",Rutgers The State University of New Jersey - New Brunswick,2015,해외박사(DDOD)
,86,Applying big data analysis for automotive parts testing data = 자동차 부품 시험자료 분석을 위한 빅데이터 분석 환경 구축,심인환,Soongsil University,2018,국내석사
,87,Accelerating big data analytics via hardware-assisted memory management,"Jang, Jaeyoung",Sungkyunkwan university,2020,국내박사
,88,Development of comparative analysis tools for biological big data = 바이오 빅데이터 비교분석 툴 개발에 관한 연구,권대홍,Konkuk University,2018,국내석사
,89,Analysis of spatiotemporal patterns of dynamic population based on mobile phone big data in Seoul : using deep learning techniques for spatial knowledge inference,고민지,"Graduate School, Yonsei University",2022,국내석사
,90,Designing the Next Generation Intelligent Transportation Sensor System Using Big Data Driven Machine Learning Techniques,"Huang, Tongge",Iowa State University,2020,해외박사(DDOD)
,91,FPGA-based secure system for big data processing on cloud environment : FASTEN implementation and evaluation,홍보의,"Graduate School, Korea University",2018,국내석사
,92,Toward software-defined Big Data Processing Systems,"Yu, Ze",University of Florida,2015,해외박사(DDOD)
,93,Understanding Human Mobility and Urban Dynamics with Big Geospatial Data Analytics,"Jin, Chanwoo","University of California, Santa Barbara",2022,해외박사(DDOD)
,94,Three essays on big data consumer analytics in e-commerce,"Lee, Dokyun",University of Pennsylvania,2015,해외박사(DDOD)
,95,Design of dynamic scheduling model for big data mart batch jobs based on regression,이주희,한양대학교 공학대학원,2022,국내석사
,96,A Power-Efficient Framework Based on Big-Data for Disaster Monitoring in Wireless Sensor Networks : 무선 센서 네트워크 환경에서 재난감시를 위한 빅데이터 기반의 효율적인 전력 프레임워크,"Uzoh, Paul Chiedozie",경북대학교 대학원,2016,국내석사
,97,Efficient electric power production mechanism through big data-based demand forecasting,제승모,"Graduate School, Korea University",2020,국내석사
,98,Matrix factorization modeling for recommender system in big data environment = 빅데이터 환경에서의 추천시스템을 위한 행렬분해 모델링,지자치,Wonkwang University,2018,국내박사
,99,(An) integrated toxicogenomic study using big data and machine learning for understanding the toxicity mechanisms of cadmium exposure in rat liver In vivo system = Rat liver In vivo 시스템에서 카드뮴 노출의 독성기전 이해를 위한 빅데이터 및 머신러닝 기반의 통합적 독성 유전체 연구,이상민,Dongguk University,2019,국내박사
,100,A Study on Predicting Survival Time of Hepatocellular Carcinoma Patients: Big Data Analysis for the Development of an Artificial Intelligence = 간세포암 환자의 생존시간 예측에 대한 연구: 인공지능 개발을 위한 빅 데이터 분석,Yujin Kwon,부산대학교,2020,국내박사
,1,A measurement of the cosmic microwave background angular power spectrum with DASI,"Halverson, Nils William",California Institute of Technology,2002,해외박사(DDOD)
,2,Athletic training education program directors: Meanings of success and development,"Meyer, Carrie Ann Taecker",Arizona State University,2005,해외박사(DDOD)
,3,"Intercollegiate athletic reform: Examining the support for athletic reform of faculty athletic representative, athletic director, senior woman administrator and head coach","Christy, Keith M",The Ohio State University,2007,해외박사(DDOD)
,4,Statistical methods for expression quantitative trait loci (eQTL) mapping,"Chen, Meng",The University of Wisconsin - Madison,2006,해외박사(DDOD)
,5,A new spin on primordial hydrogen recombination and a refined model for spinning dust radiation,"Ali-Haimoud, Yacine",California Institute of Technology,2011,해외박사(DDOD)
,6,Three essays on agricultural futures traders,"Aulerich, Nicole Mary",University of Illinois at Urbana-Champaign,2011,해외박사(DDOD)
,7,Analysis of evoked potentials on the surface and in depth of primary auditory cortex,"Kanlis, Nikolaos A","University of Maryland, College Park",2003,해외박사(DDOD)
,8,Extracting Knowledge from Twitter and The Web,"Ritter, Alan",University of Washington,2013,해외박사(DDOD)
,9,"Perception of emotion in faces: Mood, personality, menstrual cycle phase and breastfeeding chemosignals","Bullivant, Susan Beth",The University of Chicago,2013,해외박사(DDOD)
,10,"A Portrait of Elementary Visual Arts Educators: Investigating the Pedagogy, Characteristics and Beliefs of Three Exceptional Elementary Art Teachers","Hunter-Doniger, Tracey",The University of Wisconsin - Madison,2012,해외박사(DDOD)
,11,Biological and Physical Factors Affecting the Natural History and Evolution of Encapsulated Development,"von Dassow, Yasmin Jahanara",Duke University,2016,해외박사(DDOD)
,12,The lukewarm frontier: Some cosmological consequences of 'low-energy' physics,"Grin, Daniel",California Institute of Technology,2010,해외박사(DDOD)
,13,Studies in regional climate modeling over the tropical Atlantic region,"Herceg, Deborah",Columbia University,2006,해외박사(DDOD)
,14,Life out of sequence:  An ethnographic account of bioinformatics from the APPANET to post-genomics,"Stevens, Hallam",Harvard University,2010,해외박사(DDOD)
,15,Valuing place:  Understanding the role of community amenities in rural teacher labor markets,"Miller, Luke Currie",Stanford University,2008,해외박사(DDOD)
,16,Essays on the politics of the American Welfare State,"Pipinis, Dimitris",University of Southern California,2012,해외박사(DDOD)
,17,Eco-physiology of three perennial bioenergy systems,"Burks, Jennifer L",Purdue University,2013,해외박사(DDOD)
,18,Three essays in the economics of law and language,"Mialon, Hugo Marc",The University of Texas at Austin,2004,해외박사(DDOD)
,19,On the nonexistence of certain morphisms from Grassmannian to Grassmannian in characteristic 0,"Ramadoss, Ajay C",The University of Chicago,2005,해외박사(DDOD)
,20,"Unions, taxes, and the changing Mexican labor market: 1990--2007","Frias Anguiano, Judith Alejandra","University of California, Los Angeles",2008,해외박사(DDOD)
,21,Multicast congestion control and loss recovery with network assistance,"Peng, Jun",Rensselaer Polytechnic Institute,2004,해외박사(DDOD)
,22,Investigating the Presence of Nonlinear Personality---Job Performance Relationships,"Walmsley, Philip T",University of Minnesota,2013,해외박사(DDOD)
,23,Neutrino astrophysics and cosmology,"Abazajian, Kevork Nazar","University of California, San Diego",2001,해외박사(DDOD)
,24,"Personality, life satisfaction, and career decision status:  An examination of factors that impact the career decisions of Black college students","Browne, Joan M",Howard University,2005,해외박사(DDOD)
,25,Nanowire growth process modeling and reliability models for nanodevices,"Fathi Aghdam, Faranak",The University of Arizona,2016,해외박사(DDOD)
,26,Population structure and evolutionary history of a cave-adapted planthopper in the Hawaiian islands,"Shingleton, Keri Elizabeth",Washington University,2001,해외박사(DDOD)
,27,Deleted records recovery method for MySQL MyISAM database,노우선,高麗大學校 情報保護大學院,2016,국내석사
,28,Teachers' professional development needs and current practices at the Alexander Science Center School,"Gargus, Gerald Vincent",University of Southern California,2006,해외박사(DDOD)
,29,The effects of small learning communities on students' academic achievement in urban secondary schools,"Cayemite, Edner J",University of Massachusetts Boston,2005,해외박사(DDOD)
,30,SOC test scheduling with hot-spot avoidance based on user-defined constraints,"Chin, Tzuchien (James)",The University of Texas at Dallas,2005,해외박사(DDOD)
,31,Social and Economic Impacts of Natural Disasters,"Jara Valencia, Benjamin Andres",The Ohio State University,2016,해외박사(DDOD)
,32,Conservation genetics of reintroduced California bighorn sheep in Oregon,"Olson, Zachary H",Purdue University,2010,해외박사(DDOD)
,33,"Policy punctuations, city governance structures, and budgetary changes in American cities","Caver, Floun'say Romaine",The University of Texas at Dallas,2005,해외박사(DDOD)
,34,Plant-insect (Lepidoptera) interaction in maize,"Chuang, Wen-Po",The Pennsylvania State University,2012,해외박사(DDOD)
,35,Two essays on consumption smoothing and saving,"Torralba, Francisco",The University of Chicago,2010,해외박사(DDOD)
,36,"Aggregate shocks, idiosyncratic risk, consumption, and risk-sharing","Duygan, Burcu",The Johns Hopkins University,2004,해외박사(DDOD)
,37,Measurement of the Cosmic Microwave Background Polarization with the Bicep Telescope at the South Pole,"Takahashi, Yuki David","University of California, Berkeley",2010,해외박사(DDOD)
,38,Trace gas observations over rural Virginia:  Photochemistry and transport,"Hallock-Waters, Kristen Anne",University of Maryland College Park,2000,해외박사(DDOD)
,39,A search for particle dark matter using cryogenic germanium and silicon detectors in the one- and two-tower runs of CDMS-II at Soudan,"Ogburn, Reuben Walter, IV",Stanford University,2008,해외박사(DDOD)
,40,Sensitivity analysis of ozone formation in urban and rural areas of korea using CMAQ = CMAQ 모델을 이용한 수도권지역의 도심과 비도심 지역에서의 오존 형성 민감도 분석,Nguyen Phuoc Quy An,건국대학교 대학원,2012,국내석사
,41,Probing the dark ages:  Observations of the high-redshift universe,"Stevens, Daniel Keith","University of California, Berkeley",1999,해외박사(DDOD)
,42,Supporting Fault Tolerance in the Internet of Things,"Zhou, Sen","University of California, Irvine",2015,해외박사(DDOD)
,43,Learning to write the candidacy examination: Professors and students talking about academic genres and authorship,"Lin, Hsing I",The Ohio State University,2003,해외박사(DDOD)
,44,Reputation as Information: A multilevel approach to reputation in organizations,"Coyne, Erin Elizabeth",The Ohio State University,2010,해외박사(DDOD)
,45,"Social structure and the dynamics of interfirm ties: The audit services market, 1986 to 2002","Grbic, Douglas E",University of Illinois at Urbana-Champaign,2007,해외박사(DDOD)
,46,Essays in e-commerce,"Pozzi, Andrea",Stanford University,2009,해외박사(DDOD)
,47,Designing measures for assessing teachers' pedagogical content knowledge of geometry and measurement at the middle school level,"Manizade, Agida",University of Virginia,2006,해외박사(DDOD)
,48,Essays in empirical finance,"Benzoni, Luca",Northwestern University,2001,해외박사(DDOD)
,49,Interfacial transport driven by redox active surfactants,"Bai, Guiyu",The University of Wisconsin - Madison,2005,해외박사(DDOD)
,50,Essays in applied microeconomics,"Greenland, Andrew Neil",Purdue University,2013,해외박사(DDOD)
,51,Adult re-entry students: Experiences preceding entry into a rural Appalachian community college,"Genco, Jessica T",East Tennessee State University,2005,해외박사(DDOD)
,52,LASSO-patternsearch algorithm,"Shi, Weiliang",The University of Wisconsin - Madison,2008,해외박사(DDOD)
,53,The neglected importance of feedback perception in learning: An analysis of children and adults' uptake of quantitative feedback in a mathematics simulation environment,"Blair, Kristen Pilner",Stanford University,2009,해외박사(DDOD)
,54,Rural high school mathematics teachers' response to mathematics reform curriculum integration and professional development,"Cox, Teodora B",University of Illinois at Urbana-Champaign,2009,해외박사(DDOD)
,55,Structural insight in to the mechanism of wavelength tuning in a rhodopsin mimic and a single mutation resulted an extensive 3D domain swapped dimerization in hCRBPII,"Nossoni, Zahra",Michigan State University,2014,해외박사(DDOD)
,56,An estimable model of illegal Mexican immigration,"Colussi, Aldo",University of Pennsylvania,2004,해외박사(DDOD)
,57,Football Players' Perspectives on Academic Involvement: Support Services Which May Lead Towards Graduation at Universities with Division 1-A Athletic Programs,"Jelin, Debra Lynn","University of California, Los Angeles",2011,해외박사(DDOD)
,58,Estimation of statistical network and region-wise variable selection,"Chakraborty, Sayan",Michigan State University,2016,해외박사(DDOD)
,59,The digital diaspora in Sunset Park:  Information and communication technologies in Brooklyn's Chinatown,"Williams, Sarah Wendolyn",City University of New York,2013,해외박사(DDOD)
,60,An experiment in computer training of child welfare workers,"Massimo, Valerie Scott",State University of New York at Albany,2000,해외박사(DDOD)
,61,Local labor market dynamics with net and gross mobility:  Implications for unemployment and wages,"Lkhagvasuren, Damba",University of Rochester,2007,해외박사(DDOD)
,62,"Analysis, Design, and Logic Synthesis of Finite-state Machine-based Stochastic Computing","Li, Peng",University of Minnesota,2013,해외박사(DDOD)
,63,Pricing network resources in differentiated service networks,"Yang, Weilai",Georgia Institute of Technology,2004,해외박사(DDOD)
,64,Extended exponential criterion:  A new selection procedure for scatterplot smoothers,"Kou, Shingchang",Stanford University,2001,해외박사(DDOD)
,65,"Openness to Experience, Agreeableness, and gay male intimate partner preference across racial lines","Boileau, Sean N",Arizona State University,2008,해외공개박사
,66,Body weight and survival:  The US experience,"Yu, Yan",The University of Wisconsin - Madison,2008,해외박사(DDOD)
,67,Optical wave-mixing and photorefractivity in liquid crystals,"Ding, Jianwu",The Pennsylvania State University,2005,해외박사(DDOD)
,68,"Competitive advantages:  What three prestigious private universities do to compete in their elite Division 1A athletics conferences (North Carolina, Illinois, California)","DiStanislao, Mary",University of Pennsylvania,2005,해외박사(DDOD)
,69,Great expectations in hard times: The psychological risks of Chinese only children in late adolescence,"Wei, Caihong",Harvard University,2005,해외박사(DDOD)
,70,SR proteins in microRNA/mRNA biogenesis,"Wu, Han",Duke University,2011,해외박사(DDOD)
,71,Results and Systematic Studies of the UCN Lifetime Experiment at NIST,"Huffer, Craig Reeves",North Carolina State University,2017,해외박사(DDOD)
,72,"&iquest;When is it the Gesture that  Counts: Telling stories that cut to the [Cyber]chase -- or, gest get to the  po&iexcl;nt!","Swart, Michael",Columbia University,2016,해외박사(DDOD)
,73,"Investigating tidal inundation, pore water seepage, and groundwater flow within a salt marsh of the Florida Gulf Coast","Esch, Margaret Erin Sachiko",The University of North Carolina at Chapel Hill,2016,해외박사(DDOD)
,74,"Understanding precursors of psychological distress for fathers of children with cancer: The role of coping styles, personality, and ambiguity tolerance","Koraman, Defne",New York University,2005,해외박사(DDOD)
,75,Essays on the Politics of Diversity in Modern America: A Causal Inference Approach,"Anastasopoulos, Lefteris Jason","University of California, Berkeley",2013,해외박사(DDOD)
,76,Teachers and telecomputing:  A matter of decision,"de la Garza, Tracey Victoria",The University of Texas at Austin,2006,해외박사(DDOD)
,77,"Learning styles of practicing accountants in Mainland China, Hong Kong, and the United States: A cross cultural study","Black, William L",New York University,2008,해외박사(DDOD)
,78,Leaf Wax n-Alkanes as Paleoclimate Proxies: Calibrations in Modern Plants and Applications in Ancient Ecosystems,"Bush, Rosemary Tolbert",Northwestern University,2014,해외박사(DDOD)
,79,Progress toward a detection of inflationary B-modes with the BICEP2 and Keck Array polarimeters,"Sheehy, Christopher D",The University of Chicago,2013,해외박사(DDOD)
,80,"What a ""Facebook Smile"" Reveals About Future Happiness: The Expression of Positive Affect in Facebook Photographs Predicts Long-Term Well-Being","Seder, James Patrick",University of Virginia,2010,해외박사(DDOD)
,81,Essays in finance,"Agronin, Eugene",Harvard University,2004,해외박사(DDOD)
,82,(An) ESB based micro-scale urban air quality monitoring system,"Tu, Quach Ngoc",건국대학교 대학원,2010,국내석사
,83,Essays in financial economics,"Kaplin, Andrew S",Northwestern University,2003,해외박사(DDOD)
